img,link 
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/23879462/2023/10/10/7fb7d551-b642-4b03-9774-23a3f31db9d71696925336557-all-about-you-Women-Tops-7581696925336194-1.jpg",http://www.myntra.com/mailers/topwear/all-about-you/all-about-you-solid-turtle-neck-ribbed-acrylic-pullover/23879462/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/25581780/2023/11/17/99dfbd49-ca76-4af1-a32e-a5360f3bb3d31700214827681-Boohoo-Women-Tshirts-4841700214827359-1.jpg",http://www.myntra.com/mailers/topwear/boohoo/boohoo-drop-shoulder-sleeves-pure-cotton-boxy-t-shirt/25581780/buy 
"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/29895665/2024/6/10/ec2e58b2-6447-4182-8c7e-2825ca82da6b1718021895941-Tokyo-Talkies-Women-Opaque-Printed-Casual-Shirt-974171802189-1.jpg",http://www.myntra.com/mailers/topwear/tokyo-talkies/tokyo-talkies-women-opaque-printed-casual-shirt/29895655/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26752758/2024/3/21/e324caf7-309b-4130-9f9d-ccd950e8b31a1711002847858-Levis-Women-Tops-9881711002847400-1.jpg", http://www.myntra.com/mailers/topwear/levis/levis-textured-puff-sleeves-top/26752758/buy
"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/17691586/2022/3/31/0a50423a-d8c7-489a-a15b-e28522ec42e51648703705143FOREVER21WomenBlueWashedDenimJacket1.jpg",https://www.myntra.com/jackets/forever21/forever-21-women-blue-washed-pure-cotton-denim-jacket/17691586/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/25050096/2023/9/18/673582e2-72ee-4789-b8d5-c39b2ec72e621695030751418KETCHWomenGreenWashedDenimJacketwithPatchwork1.jpg",http://www.myntra.com/mailers/topwear/ketch/ketch-washed-spread-collar-cotton-denim-jacket/25050096/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/25662480/2023/10/27/432218e8-72d3-4bfa-b1d9-847371dc2eea1698421859929Sweaters1.jpg",http://www.myntra.com/mailers/topwear/sassafras/sassafras-floral-printed-v-neck-ribbed-woollen-cardigan/25662480/buy
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/30144686/2024/7/6/7488726c-30a4-4531-b3bf-7cdd8b806d561720278490440HMMenPureCottonT-Shirt1.jpg",http://www.myntra.com/mailers/topwear/h&m/h&m-men-pure-cotton-t-shirt/30144686/buy
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/23455518/2023/5/28/b2bf3fcf-7a2e-442f-a96a-5151272414a91685293209384AlanJonesMenGreenHoodedSweatshirt1.jpg",http://www.myntra.com/mailers/topwear/alan-jones/alan-jones-men-solid-hooded-front-open-sweatshirt/23455518/buy 
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/19791544/2022/9/10/51e1b83b-9bd8-486f-8068-9ffc58049c621662805861392DENNISONMenNavyBlueandwhiteprintedcubancollarcasualshirtKurt1.jpg",http://www.myntra.com/mailers/topwear/rain-&-rainbow/rain-&-rainbow-peach-coloured-&-yellow-printed-pure-cotton-kurti/19791544/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26206628/2023/12/2/37b48833-dd26-4092-a12c-4e9fe111ef591701530497075TokyoTalkiesWomenBluePrintedHoodedSweatshirt1.jpg",http://www.myntra.com/mailers/topwear/tokyo-talkies/tokyo-talkies-sea-green-printed-hooded-relaxed-fit-pullover/26206628/buy
"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/30188790/2024/7/11/e8793797-6218-4e0d-8182-829fdf795e471720696019114HIGHLANDERMenColourblockedLonglinePufferJacket1.jpg",http://www.myntra.com/mailers/topwear/highlander/highlander-men-colourblocked-longline-puffer-jacket/30188790/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/24151978/2023/7/22/effd01c4-eb2f-4919-8014-e864165b80e11690015124924Jackets1.jpg",Buy BAESD Collraless Puff Sleeves Bomber Jacket - Jackets for Women 24151978 | Myntra
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/19321256/2022/7/30/a97fbca1-dd63-45ed-a2ed-545c6a3fdadb1659187896757Sweatshirts1.jpg",http://www.myntra.com/mailers/topwear/status-quo/status-quo-women-maroon-printed-sweatshirt/19321256/buy
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/26419870/2023/12/14/5880dcfb-5bb8-4294-ae01-c27ea955d9a31702546718389TeakwoodLeathersMenBrownLeatherLeatherJacket1.jpg",Buy Teakwood Leathers Band Collar Leather Jacket - Jackets for Men 26419870 | Myntra
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/25683266/2023/10/30/ded8d462-3722-4b65-9987-4ad68308631f1698659125366Jackets2.jpg",Buy Noh.Voh SASSAFRAS Kids Girls Mock Collar Quilted Jacket - Jackets for Girls 25683266 | Myntra
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/24303930/2023/8/2/5ec7179e-4181-4f5a-8691-f046718628d81690969473617MadOverPrintBlackCottonCropTop1.jpg",http://www.myntra.com/mailers/topwear/mad-over-print/mad-over-print-typography-printed-drop-shoulder-cotton-crop-top/24303930/buy 
"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/28620462/2024/4/2/aa6db179-47d7-494e-be11-1d94d10f04df1712053908480StyleCastxRevolteStripedExtendedSleevesTop1.jpg",http://www.myntra.com/mailers/topwear/stylecast-x-revolte/stylecast-x-revolte-abstract-print-cuffed-sleeves-top/28620462/buy
"https://assets.myntassets.com/w_412,q_60,dpr_2,fl_progressive/assets/images/13555628/2024/5/28/a5ae15dd-aaaf-4b8a-b974-b3341ea7f1441716871175378-Roadster-Women-White-Pure-Cotton-T-shirt-4301716871174888-1.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-life-co-pure-cotton-t-shirt/13555628/buy
